PID,MS_SubClass,Lot_Frontage,Lot_Area,Street,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Gr_Liv_Area,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,TotRms_AbvGrd,Fireplaces,Garage_Area,Mo_Sold,Yr_Sold,SalePrice
906378110,20,71,9178,Pave,1,1,8,5,2008,1468,2,0,3,1,6,1,904,6,2009,239900
906380220,20,95,10324,Pave,1,1,8,5,2008,1254,2,0,2,1,5,0,810,3,2009,221800
916382100,20,113,13438,Pave,1,1,9,5,2008,2036,2,0,3,1,9,1,780,7,2009,410000
916382110,20,79,14463,Pave,1,1,9,5,2008,1641,2,0,3,1,7,0,885,1,2009,316500
528102030,20,96,12444,Pave,1,1,8,5,2008,1932,2,0,2,1,7,1,774,11,2008,394617
528104080,60,67,14948,Pave,1,2,9,5,2008,2713,2,1,3,1,11,1,858,11,2008,446261
528180110,120,58,10110,Pave,5,1,9,5,2008,1866,2,0,2,1,7,1,870,11,2008,336860
528180140,120,65,8769,Pave,5,1,9,5,2008,1702,1,1,1,1,7,1,1052,10,2008,367294
528429080,20,75,14587,Pave,1,1,9,5,2008,1506,2,0,2,1,6,1,592,8,2008,264132
528431080,20,91,12274,Pave,1,1,7,5,2008,1428,2,0,3,1,6,0,554,7,2008,227680
902100020,20,56,9836,Pave,1,1,6,5,2008,1133,1,0,3,1,7,0,308,12,2008,143000
906412010,20,91,11778,Pave,1,1,9,5,2008,2276,2,0,3,1,7,2,1348,6,2008,475000
906412050,20,91,11778,Pave,1,1,9,5,2008,1766,2,1,3,1,8,2,874,12,2008,395039
908154235,60,313,63887,Pave,1,2,10,5,2008,5642,2,1,3,1,12,3,1418,1,2008,160000
911370410,120,64,5587,Pave,5,1,8,5,2008,1652,2,0,2,1,5,1,482,11,2008,392500
916386180,60,81,12018,Pave,1,2,7,5,2008,1612,2,1,3,1,6,0,666,10,2008,218689
908154195,20,128,39290,Pave,1,1,10,5,2008,5095,2,1,2,1,15,2,1154,10,2007,183850
528112020,20,98,11478,Pave,1,1,8,5,2007,1704,2,0,3,1,7,1,772,5,2010,306000
528102140,60,110,14257,Pave,1,2,9,5,2007,2772,3,1,4,1,10,3,754,6,2009,462000
528108010,20,110,14230,Pave,1,1,8,5,2007,1600,2,0,3,1,7,1,890,7,2009,256300
528110020,20,105,13693,Pave,1,1,10,5,2007,2674,2,1,2,1,8,2,762,3,2009,610000
528118060,60,59,23303,Pave,1,2,8,5,2007,2520,2,1,5,1,10,1,640,6,2009,409900
528175050,120,80,10307,Pave,5,1,7,5,2007,1358,2,0,2,1,6,1,484,5,2009,212500
528175060,120,34,5001,Pave,4,1,7,5,2007,1314,2,0,2,1,6,1,626,7,2009,230000
528228290,120,53,3684,Pave,5,1,7,5,2007,1555,2,0,2,1,7,1,660,6,2009,174000
528228295,120,51,3635,Pave,5,1,7,5,2007,1569,2,0,1,1,7,1,660,5,2009,175900
528253010,120,34,5063,Pave,4,1,7,5,2007,1314,2,0,2,1,6,1,626,4,2009,207500
528435050,20,85,10130,Pave,1,1,8,5,2007,1702,2,0,3,1,7,1,844,3,2009,275500
528458140,20,112,12606,Pave,1,1,9,5,2007,1530,2,0,3,1,7,1,984,5,2009,250000
531363010,20,80,9605,Pave,1,1,7,6,2007,1218,1,1,3,1,6,0,576,4,2009,159000
906340110,20,79,10637,Pave,1,1,8,5,2007,1718,2,0,3,1,7,1,826,9,2009,297000
906380050,60,68,10769,Pave,1,2,8,5,2007,1768,2,1,3,1,7,0,578,4,2009,212000
906380060,20,77,11422,Pave,1,1,8,5,2007,1838,2,0,3,1,7,2,524,4,2009,272500
906380100,20,122,11923,Pave,1,1,9,5,2007,1800,2,0,2,1,7,0,702,5,2009,239000
906380210,20,64,6762,Pave,1,1,7,5,2007,1290,2,0,2,1,6,1,662,5,2009,200000
906392070,20,64,7314,Pave,1,1,7,5,2007,1232,2,0,2,1,6,0,632,2,2009,194500
907410130,20,85,10200,Pave,1,1,8,5,2007,1602,2,0,3,1,7,1,810,1,2009,293200
907420040,60,85,11069,Pave,1,2,6,5,2007,1396,2,1,3,1,6,1,440,7,2009,170000
908154040,20,86,13286,Pave,1,1,9,5,2007,1698,2,0,3,1,8,1,768,2,2009,320000
911370500,120,44,3843,Pave,5,1,8,5,2007,1648,2,0,2,1,5,1,482,6,2009,230000
916380070,20,89,12898,Pave,1,1,9,5,2007,1620,2,0,2,1,6,1,912,9,2009,315500
916386140,20,73,8925,Pave,1,1,8,5,2007,1466,2,0,3,1,7,0,610,7,2009,201000
921128050,20,85,12633,Pave,1,1,9,5,2007,1978,2,0,2,1,7,1,920,5,2009,425000
527252080,120,60,8118,Pave,5,1,9,5,2007,1710,2,0,2,1,6,1,557,7,2008,334000
528102110,60,96,12474,Pave,1,2,10,5,2007,2332,2,1,3,1,9,1,846,8,2008,426000
528104050,20,114,14803,Pave,1,1,10,5,2007,2084,2,0,2,1,7,1,1220,6,2008,385000
528108150,20,98,12704,Pave,1,1,8,5,2007,1582,2,0,3,1,7,0,905,1,2008,317500
528110080,20,107,13891,Pave,1,1,8,5,2007,1710,2,0,2,1,6,1,866,1,2008,372402
528110110,20,105,13693,Pave,1,1,8,5,2007,2464,2,1,4,1,9,1,650,8,2008,417500
528114040,20,104,14418,Pave,1,1,9,5,2007,1950,2,0,2,1,7,1,706,5,2008,383000
528142020,60,74,8899,Pave,1,2,8,5,2007,2088,2,1,4,1,10,1,656,6,2008,250000
528186130,120,89,8232,Pave,5,1,9,5,2007,1800,2,0,2,1,6,1,944,6,2008,370967
528228465,20,43,3182,Pave,1,1,7,5,2007,1266,2,0,2,1,6,1,388,3,2008,159895
528228540,20,53,3710,Pave,1,1,7,5,2007,1246,2,0,2,1,5,1,428,3,2008,187687
528253020,120,55,7301,Pave,5,1,7,6,2007,1358,2,0,2,1,6,1,484,11,2008,217300
528427010,20,92,11932,Pave,1,1,8,5,2007,1580,2,0,3,1,7,0,830,6,2008,235128
528427070,60,86,14598,Pave,1,2,6,5,2007,1933,2,1,4,1,9,1,668,1,2008,214000
528431060,20,78,10206,Pave,1,1,8,5,2007,1563,2,0,3,1,6,1,758,10,2008,245000
528431120,60,73,9801,Pave,1,2,8,5,2007,1861,3,0,3,1,7,1,851,7,2008,257000
528435020,60,80,9428,Pave,1,2,8,5,2007,1874,2,1,3,1,8,1,880,2,2008,297900
528458030,20,72,8640,Pave,1,1,8,5,2007,1372,2,0,3,1,6,0,588,7,2008,212700
528458050,20,72,8640,Pave,1,1,7,5,2007,1372,2,0,3,1,6,0,529,5,2008,250580
528480060,60,85,10800,Pave,1,2,8,5,2007,2078,2,1,3,1,8,1,836,4,2008,339750
528482020,20,85,10625,Pave,1,1,8,5,2007,1660,2,0,3,1,7,1,660,6,2008,256000
528488140,20,62,7500,Pave,1,1,7,5,2007,1218,2,0,2,1,6,0,462,4,2008,230348
531376070,20,81,9260,Pave,1,1,7,5,2007,1162,2,0,3,1,6,0,483,3,2008,170000
533212140,160,30,3180,Pave,5,2,7,5,2007,1392,2,0,2,1,5,0,540,3,2008,146000
533212150,160,34,3604,Pave,5,2,7,5,2007,1392,2,0,2,1,5,0,540,2,2008,146000
906378190,60,65,10616,Pave,1,2,7,5,2007,1356,2,1,3,1,6,1,484,3,2008,177439
906380030,20,65,9345,Pave,1,1,8,5,2007,1615,2,0,3,1,7,1,864,5,2008,248500
907412090,20,85,11049,Pave,1,1,8,5,2007,1234,2,0,3,1,7,0,484,1,2008,179900
907418010,20,85,11058,Pave,1,1,7,6,2007,1564,2,0,3,1,6,0,814,2,2008,218836
907418040,20,74,9627,Pave,1,1,7,5,2007,1361,2,0,3,1,6,0,610,6,2008,193000
911370490,120,44,3843,Pave,5,1,8,5,2007,1648,2,0,2,1,5,1,525,8,2008,294464
916382120,20,71,9520,Pave,1,1,8,5,2007,1646,2,0,3,1,7,1,800,4,2008,293077
916384100,60,107,12852,Pave,1,2,8,5,2007,1780,2,1,3,1,6,1,612,1,2008,264966
921126030,20,79,11449,Pave,1,1,8,5,2007,1728,2,0,3,1,7,1,520,1,2008,298751
527252070,20,60,8089,Pave,1,1,8,6,2007,1419,2,0,2,1,7,1,567,10,2007,392000
528102090,20,90,11694,Pave,1,1,9,5,2007,1828,2,0,3,1,9,1,774,7,2007,314813
528102100,20,93,12030,Pave,1,1,8,5,2007,1694,2,0,3,1,7,0,818,12,2007,318000
528102130,20,93,12085,Pave,1,1,8,5,2007,1734,2,0,3,1,7,1,928,11,2007,318000
528104010,20,110,14333,Pave,1,1,8,5,2007,2122,2,1,2,1,7,1,938,11,2007,345474
528106050,60,107,13641,Pave,1,2,9,5,2007,2656,2,1,3,1,8,1,1040,12,2007,492000
528110040,20,107,13891,Pave,1,1,9,5,2007,2552,2,0,3,1,8,2,932,10,2007,479069
528118050,20,59,17169,Pave,1,1,10,5,2007,2290,2,1,2,1,7,1,1174,8,2007,500067
528120010,60,134,16659,Pave,1,2,8,5,2007,2152,2,1,3,1,7,1,728,6,2007,260116
528142050,60,82,9709,Pave,1,2,8,5,2007,2100,2,1,3,1,8,2,786,9,2007,319500
528144050,60,86,10562,Pave,1,2,8,5,2007,2161,1,1,3,1,8,1,789,11,2007,325624
528186120,120,68,7820,Pave,5,1,9,5,2007,1869,2,0,2,1,6,1,617,12,2007,318061
528221090,60,65,9018,Pave,1,2,7,5,2007,1456,2,1,3,1,8,1,400,7,2007,179540
528222030,20,73,8993,Pave,1,1,7,5,2007,1302,2,0,3,1,6,0,436,8,2007,176485
528222040,20,73,8899,Pave,1,1,7,5,2007,1340,2,0,3,1,6,0,396,8,2007,181134
528222060,60,72,8229,Pave,1,2,6,5,2007,1504,2,1,3,1,6,0,440,12,2007,166000
528222080,60,64,7713,Pave,1,2,7,5,2007,1456,2,1,3,1,7,0,400,7,2007,177594
528222090,20,64,7697,Pave,1,1,7,6,2007,1258,2,0,3,1,6,0,462,8,2007,173500
528228555,20,53,3710,Pave,1,1,7,5,2007,1266,2,0,2,1,6,1,388,8,2007,185485
528427040,20,75,9910,Pave,1,1,7,6,2007,1369,2,0,3,1,5,0,605,9,2007,213133
528427100,20,91,11830,Pave,1,1,8,5,2007,1542,2,0,3,1,6,1,852,7,2007,260261
528429110,20,49,15256,Pave,1,1,8,5,2007,1464,2,0,3,1,6,0,754,8,2007,282922
528431040,20,98,12291,Pave,1,1,10,5,2007,1966,2,0,1,1,6,1,1092,10,2007,419005
528435040,20,79,9416,Pave,1,1,7,5,2007,1726,2,0,3,1,8,1,786,9,2007,311872
528435060,20,83,9849,Pave,1,1,7,6,2007,1689,2,0,3,1,7,0,954,6,2007,248328
528439050,20,76,9158,Pave,1,1,8,5,2007,1496,2,0,3,1,7,0,474,6,2007,225000
528456190,20,72,8640,Pave,1,1,8,5,2007,1338,2,0,3,1,6,0,598,11,2007,208900
528458080,60,72,8640,Pave,1,2,8,5,2007,1792,2,1,3,1,8,0,590,11,2007,255000
528458090,60,81,10411,Pave,1,2,5,5,2007,1588,3,0,3,1,8,0,561,7,2007,212109
528458130,60,75,9000,Pave,1,2,8,5,2007,2610,2,1,4,1,11,1,550,8,2007,303477
528480020,60,84,10207,Pave,1,2,7,6,2007,1761,3,0,3,1,7,0,578,8,2007,227875
528480180,20,84,10440,Pave,1,1,8,5,2007,1584,2,0,2,1,6,1,594,5,2007,261329
906340080,60,77,9965,Pave,1,2,7,5,2007,2696,2,1,4,1,10,1,792,10,2007,383970
906378120,20,71,9178,Pave,1,1,8,5,2007,1651,2,0,3,1,7,1,870,9,2007,250000
906380010,20,103,11175,Pave,1,1,7,5,2007,1316,2,0,3,1,6,1,440,10,2007,200141
906380040,20,66,10235,Pave,1,1,8,5,2007,1651,2,0,3,1,7,1,870,9,2007,246500
906380070,60,69,9588,Pave,1,2,8,5,2007,2574,2,1,3,1,10,1,868,11,2007,276000
906380200,20,64,6762,Pave,1,1,7,5,2007,1208,2,0,2,1,6,0,628,9,2007,195400
907410020,60,70,8145,Pave,1,2,7,5,2007,1476,2,1,3,1,7,0,552,6,2007,179400
908154205,60,130,40094,Pave,1,2,10,5,2007,4676,3,1,3,1,11,1,884,10,2007,184750
916384150,20,89,10991,Pave,1,1,8,5,2007,1571,2,0,3,1,7,1,722,12,2007,239000
528181050,120,41,7132,Pave,5,1,8,5,2006,1370,2,0,2,1,6,1,484,4,2010,205000
528228285,120,43,3203,Pave,5,1,7,5,2006,1145,2,0,2,1,6,0,437,1,2010,160000
906380190,20,64,6762,Pave,1,1,7,5,2006,1208,2,0,2,1,6,0,632,2,2010,206000
916386060,60,73,9802,Pave,1,2,5,5,2006,1444,2,1,3,1,7,0,400,4,2010,174000
527108070,20,42,14892,Pave,1,1,9,5,2006,1746,2,0,3,1,7,2,758,10,2009,377500
528102040,20,96,12456,Pave,1,1,10,5,2006,1718,2,0,3,1,7,1,786,7,2009,337500
528106070,20,108,13173,Pave,1,1,9,5,2006,1652,2,0,2,1,6,2,840,11,2009,325000
528120020,20,87,11146,Pave,1,1,8,5,2006,1717,2,0,3,1,7,1,908,7,2009,255500
528120170,20,77,10872,Pave,1,1,9,5,2006,1531,2,0,2,1,6,1,700,2,2009,300000
528172060,20,70,9658,Pave,1,1,8,5,2006,1606,2,0,3,1,6,1,871,7,2009,255900
528186180,120,48,6240,Pave,5,1,8,5,2006,1324,2,0,2,1,6,1,550,12,2009,254000
528439060,20,76,9139,Pave,1,1,8,5,2006,1432,2,0,3,1,7,1,492,9,2009,245000
528458180,20,75,7500,Pave,1,1,8,5,2006,1448,2,0,2,1,6,1,692,6,2009,238500
528477070,60,84,10603,Pave,1,2,8,5,2006,1795,2,1,3,1,8,1,782,7,2009,270000
528480130,60,65,8125,Pave,1,2,7,5,2006,1550,2,0,2,1,7,0,438,10,2009,241000
528482040,20,85,10625,Pave,1,1,7,5,2006,1662,2,0,3,1,8,1,711,3,2009,291000
531363030,20,63,7500,Pave,1,1,7,5,2006,1141,1,1,3,1,6,0,484,6,2009,152000
906380130,20,68,8814,Pave,1,1,7,5,2006,1604,2,1,3,1,8,1,660,3,2009,220000
916475040,20,85,14601,Pave,1,1,9,5,2006,1838,2,0,2,1,8,1,765,3,2009,315000
528118030,60,108,13418,Pave,1,2,9,5,2006,2748,2,1,4,1,9,1,850,10,2008,390000
528186160,120,48,6240,Pave,5,1,8,5,2006,1342,2,0,2,1,6,1,550,6,2008,234250
528186170,120,48,6240,Pave,5,1,8,5,2006,1342,2,0,2,1,6,1,550,2,2008,219500
528429050,20,75,11957,Pave,1,1,8,5,2006,1574,2,0,3,1,7,1,824,7,2008,232000
528429070,20,74,13253,Pave,1,1,7,5,2006,1578,2,0,3,1,7,1,642,5,2008,240000
533208080,160,35,4017,Pave,5,2,7,5,2006,1250,2,1,2,1,5,0,625,3,2008,171900
916380060,20,74,11563,Pave,1,1,8,5,2006,1537,2,0,3,1,8,0,788,4,2008,294000
527216080,20,52,51974,Pave,1,1,9,5,2006,2338,2,1,4,1,8,2,1110,6,2007,591587
527252050,120,61,8035,Pave,5,1,9,5,2006,1612,2,0,2,1,6,1,556,3,2007,319900
527256030,20,85,14082,Pave,1,1,8,5,2006,2234,1,1,1,1,7,1,724,1,2007,441929
527256040,20,81,13870,Pave,1,1,10,5,2006,2042,2,0,3,1,8,1,724,10,2007,455000
528102050,20,96,12469,Pave,1,1,9,5,2006,1816,2,0,3,1,7,1,730,8,2007,356000
528102120,20,91,11825,Pave,1,1,8,5,2006,1694,2,0,3,1,7,1,856,6,2007,322400
528106040,20,107,14450,Pave,1,1,9,5,2006,2121,2,1,3,1,8,1,732,5,2007,415298
528106060,60,110,13440,Pave,1,2,8,5,2006,2550,2,1,4,1,11,1,670,3,2007,338931
528108160,60,109,14154,Pave,1,2,7,5,2006,2172,2,1,3,1,9,1,947,8,2007,280000
528110070,20,110,14226,Pave,1,1,8,5,2006,1973,2,0,3,1,9,1,895,7,2007,395000
528110100,60,105,13693,Pave,1,2,9,5,2006,2643,2,1,3,1,9,1,694,3,2007,380000
528112150,20,98,11428,Pave,1,1,8,5,2006,1634,2,0,3,1,7,1,866,5,2007,250000
528114050,20,110,14977,Pave,1,1,8,5,2006,1976,2,0,2,1,7,1,908,7,2007,440000
528150040,20,94,13615,Pave,1,1,9,5,2006,1802,2,1,3,1,7,1,843,6,2007,372000
528172075,60,92,10732,Pave,1,2,8,5,2006,1828,2,1,3,1,7,0,876,2,2007,250000
528181060,120,34,4590,Pave,4,1,8,5,2006,1554,2,0,2,1,6,1,627,8,2007,209500
528181070,120,34,4590,Pave,4,1,8,5,2006,1554,2,0,2,1,6,1,627,5,2007,209500
528181080,120,44,6442,Pave,5,1,8,5,2006,1370,2,0,2,1,6,1,484,10,2007,202500
528186190,120,48,6240,Pave,5,1,8,5,2006,1324,2,0,2,1,6,1,550,9,2007,221370
528218100,60,58,13204,Pave,1,2,7,5,2006,1458,2,0,3,1,6,0,454,5,2007,168165
528221030,60,62,8857,Pave,1,2,6,5,2006,1495,2,1,3,1,7,1,440,3,2007,171925
528221040,60,63,9729,Pave,1,2,6,5,2006,1746,2,1,3,1,6,1,350,6,2007,198444
528222050,60,73,8499,Pave,1,2,6,5,2006,1412,2,1,3,1,6,1,432,3,2007,156932
528228270,120,53,3922,Pave,5,1,7,5,2006,1258,2,0,2,1,6,1,648,6,2007,172500
528228275,120,53,3922,Pave,5,1,7,5,2006,1402,0,2,2,1,7,1,648,2,2007,194201
528235170,20,59,10936,Pave,1,1,7,5,2006,1525,2,1,3,1,6,1,534,4,2007,206580
528429090,20,84,11670,Pave,1,1,9,5,2006,1905,2,0,3,1,8,1,788,3,2007,320000
528431030,20,76,10612,Pave,1,1,8,5,2006,1534,2,0,3,1,7,1,484,1,2007,215000
528431050,20,116,13501,Pave,1,1,8,5,2006,1636,2,0,3,1,8,1,865,6,2007,255000
528431110,20,75,9986,Pave,1,1,8,5,2006,1795,2,0,2,1,7,1,895,2,2007,147000
528435070,20,85,10000,Pave,1,1,8,5,2006,1588,2,0,3,1,7,1,825,12,2007,227000
528445020,60,70,9605,Pave,1,2,7,5,2006,1977,2,1,3,1,7,0,574,7,2007,250000
528445070,60,75,8778,Pave,1,2,8,5,2006,1830,2,1,3,1,7,0,859,3,2007,221300
528456230,20,75,9000,Pave,1,1,7,5,2006,1335,2,0,3,1,6,0,575,6,2007,210400
528458120,60,75,9000,Pave,1,2,8,5,2006,1959,2,1,3,1,8,1,1025,12,2007,270000
528477020,20,84,11096,Pave,1,1,8,5,2006,1656,2,0,3,1,7,0,826,7,2007,249700
528482010,20,100,11824,Pave,1,1,8,5,2006,1685,2,0,2,1,5,1,658,4,2007,253000
531376060,20,65,7441,Pave,1,1,7,5,2006,1486,2,0,3,1,7,0,566,6,2007,181000
533206060,120,80,3523,Pave,5,1,8,5,2006,1151,2,0,2,1,5,0,484,2,2007,166000
533206070,120,32,3784,Pave,5,1,8,5,2006,1565,2,0,2,1,5,0,476,2,2007,193800
533208010,120,47,4230,Pave,5,1,7,5,2006,1352,2,0,2,1,5,1,466,4,2007,208900
533208020,120,40,3606,Pave,5,1,7,5,2006,1352,2,0,2,1,5,1,466,8,2007,194000
533208070,160,35,4251,Pave,5,2,7,5,2006,1250,2,1,2,1,5,0,528,6,2007,164700
906340090,60,77,9965,Pave,1,2,8,5,2006,2828,3,0,4,1,11,1,1052,4,2007,424870
906378150,20,93,10481,Pave,1,1,8,5,2006,2140,2,1,3,1,8,0,894,6,2007,360000
906378170,20,91,10652,Pave,1,1,7,5,2006,1494,2,0,3,1,7,1,840,8,2007,279500
906380140,60,85,11103,Pave,1,2,7,5,2006,1456,2,1,3,1,8,1,440,7,2007,155835
906380160,20,74,8556,Pave,1,1,7,5,2006,1240,2,0,2,1,5,0,826,5,2007,194000
906382060,20,73,8760,Pave,1,1,8,5,2006,1500,2,0,3,1,7,1,674,6,2007,212999
906394050,20,78,9317,Pave,1,1,6,5,2006,1314,2,0,3,1,6,1,440,3,2007,176432
907410050,60,79,9245,Pave,1,2,7,5,2006,1797,2,1,3,1,8,0,639,4,2007,213500
907420050,20,64,8334,Pave,1,1,6,5,2006,1330,2,0,3,1,6,1,437,7,2007,167840
907420060,60,64,8333,Pave,1,2,7,5,2006,1491,2,1,3,1,7,1,484,5,2007,168675
908152260,20,74,8536,Pave,1,1,5,5,2006,1125,1,1,2,1,5,0,430,4,2007,155000
911370450,120,59,5568,Pave,5,1,8,5,2006,1625,2,0,2,1,5,1,495,10,2007,375000
911370460,120,44,4750,Pave,5,1,8,5,2006,1625,2,0,2,1,5,1,538,12,2007,235000
916384050,20,67,8368,Pave,1,1,7,5,2006,1689,2,0,3,1,7,0,433,4,2007,231713
916384080,20,64,9037,Pave,1,1,8,5,2006,1484,2,0,2,1,6,1,472,12,2007,265900
916386170,20,67,10656,Pave,1,1,8,5,2006,1646,2,0,3,1,6,1,870,11,2007,248900
921126010,20,93,15306,Pave,1,1,8,5,2006,1776,2,0,3,1,7,1,712,5,2007,283463
921128030,20,85,12633,Pave,1,1,10,5,2006,1824,2,0,3,1,8,1,932,9,2007,392000
527108020,20,50,14859,Pave,1,1,7,5,2006,1670,2,0,3,1,7,1,690,8,2006,240000
527108090,60,168,23257,Pave,1,2,7,5,2006,2021,2,1,3,1,9,1,422,9,2006,274725
527210040,60,60,18062,Pave,1,2,10,5,2006,3390,3,1,5,1,10,1,758,9,2006,545224
527210050,60,63,12292,Pave,1,2,9,5,2006,2473,2,1,4,1,11,1,675,7,2006,356383
527212040,60,82,12438,Pave,1,2,8,5,2006,2576,2,1,4,1,10,1,666,7,2006,361919
527214060,60,82,16052,Pave,1,2,10,5,2006,2698,2,1,4,1,11,1,736,7,2006,535000
